n,p,m,L,rep,time_vd,time_tl,mem_vd_mb,mem_tl_mb,ok_vd,ok_tl
1000,50000,1,50000,60,1.11682,1.12561,416.047,1078.56,1,1
1000,50000,1,50000,61,1.1322,1.48827,417.625,1222.62,1,1
1000,50000,1,50000,62,1.03132,1.17297,414.844,1100.33,1,1
1000,50000,1,50000,63,1.03792,1.44957,414.875,1223.02,1,1
1000,50000,1,50000,64,1.03576,0.908064,414.078,978.766,1,1
1000,50000,1,50000,65,1.37337,1.36566,423.141,1196.61,1,1
1000,50000,1,50000,66,1.03029,1.36916,414.859,1171.8,1,1
1000,50000,1,50000,67,1.27844,1.35998,421.188,1171.39,1,1
1000,50000,1,50000,68,1.17367,1.42972,418.422,1249.36,1,1
1000,50000,1,50000,69,1.18098,1.09163,418.422,1057.12,1,1
1000,50000,1,50000,70,1.26198,1.34643,419.578,1196.61,1,1
1000,50000,1,50000,71,1.27755,1.32629,420.797,1123.27,1,1
1000,50000,1,50000,72,1.22489,1.15795,419.578,1100.31,1,1
1000,50000,1,50000,73,1.27421,1.33082,420.797,1197,1,1
1000,50000,1,50000,74,1.08169,1.16173,416.438,1078.17,1,1
1000,50000,1,50000,75,1.13238,1.25469,418.016,1123.27,1,1
1000,50000,1,50000,76,1.413,1.53252,424.703,1305.16,1,1
1000,50000,1,50000,77,1.13647,1.11014,417.609,1078.56,1,1
1000,50000,1,50000,78,1.08356,1.2336,416.047,1146.95,1,1
1000,50000,1,50000,79,1.08329,1.49876,416.453,1276.88,1,1
1000,50000,1,50000,80,1.23918,1.48816,419.562,1222.62,1,1
1000,50000,1,50000,81,1.1313,1.04014,417.219,1036.11,1,1
1000,50000,1,50000,82,1.03312,1.4055,414.875,1171.41,1,1
1000,50000,1,50000,83,1.23381,1.3653,419.969,1222.62,1,1
1000,50000,1,50000,84,1.41118,1.50997,424.703,1249.77,1,1
1000,50000,1,50000,85,1.15899,1.06531,418.422,1057.11,1,1
1000,50000,1,50000,86,1.1515,1.28373,418.406,1171.8,1,1
1000,50000,1,50000,87,0.951641,1.43828,412.891,1146.95,1,1
1000,50000,1,50000,88,1.22081,1.27025,419.969,1146.95,1,1
1000,50000,1,50000,89,0.99256,1.3069,413.719,1146.95,1,1
1000,50000,1,50000,90,1.25092,1.1313,419.969,1078.56,1,1
1000,50000,1,50000,91,1.24797,1.30719,420.344,1146.95,1,1
1000,50000,1,50000,92,1.35563,1.34718,421.953,1196.61,1,1
1000,50000,1,50000,93,1.1782,1.19278,418.797,1123.66,1,1
1000,50000,1,50000,94,1.26852,1.18573,420.766,1100.33,1,1
1000,50000,1,50000,95,1.22224,1.18139,419.969,1078.56,1,1
1000,50000,1,50000,96,1.08489,1.09228,416.062,1036.11,1,1
1000,50000,1,50000,97,1.03526,1.0409,414.859,1016.23,1,1
1000,50000,1,50000,98,1.12373,1.13955,416.047,1056.73,1,1
1000,50000,1,50000,99,1.07621,1.05294,416.844,1036.5,1,1
